system,RB,RB2,XB,XB2,VB,VB2,PB,PB2,EB,EB2,NB,NB2,RA,IA,VA,PA,EA,NA,RX,XX,VX,PX,EX,AX,NX,BEAX,BEBX,BEB2X,Bandgap
Li2BePdF6,0.59,0.84625,1.57,2.2,2,10,5.6,4.8,3.369600005,3.916640006,4,46,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-5.897092546,-3.319597782,0.407
Li2BeTeF6,0.59,1.293333333,1.57,2.1,2,6,5.6,5.5,3.369600005,2.044640003,4,52,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-5.897092546,-4.681404658,0.3361
Li2CoPdI6,0.768333333,0.84625,1.91,2.2,9,10,7.5,4.8,4.437680007,3.916640006,27,46,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-1.046595196,-2.190810671,0.0031
Li2CoCdF6,0.768333333,1.09,1.91,1.69,9,12,7.5,7.36,4.437680007,1.162720002,27,48,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-2.837697502,-2.228460083,0.0046
Li2CoTeI6,0.768333333,1.293333333,1.91,2.1,9,6,7.5,5.5,4.437680007,2.044640003,27,52,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-1.046595196,-3.349766345,0.0072
Li2ZnPdF6,0.88,0.84625,1.65,2.2,12,10,5.75,4.8,1.356160002,3.916640006,30,46,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-2.821480291,-3.319597782,0
Li2ZnTeF6,0.88,1.293333333,1.65,2.1,12,6,5.75,5.5,1.356160002,2.044640003,30,52,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-2.821480291,-4.681404658,0
Na2NiPdF6,0.74,0.84625,1.88,2.2,10,10,6.8,4.8,4.473040007,3.916640006,28,46,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-6.094753522,-3.319597782,0
Na2NiTeF6,0.74,1.293333333,1.88,2.1,10,6,6.8,5.5,4.473040007,2.044640003,28,52,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-6.094753522,-4.681404658,0
Na2ZnPdI6,0.88,0.84625,1.65,2.2,12,10,5.75,4.8,1.356160002,3.916640006,30,46,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-1.288829967,-2.190810671,0
Na2ZnTeI6,0.88,1.293333333,1.65,2.1,12,6,5.75,5.5,1.356160002,2.044640003,30,52,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-1.288829967,-3.349766345,0.0184
K2CoPdF6,0.768333333,0.84625,1.91,2.2,9,10,7.5,4.8,4.437680007,3.916640006,27,46,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-2.837697502,-3.319597782,0.0003
K2CoTeF6,0.768333333,1.293333333,1.91,2.1,9,6,7.5,5.5,4.437680007,2.044640003,27,52,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-2.837697502,-4.681404658,0.0008
K2NiPdI6,0.74,0.84625,1.88,2.2,10,10,6.8,4.8,4.473040007,3.916640006,28,46,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-4.554997046,-2.190810671,0.0051
K2NiTeI6,0.74,1.293333333,1.88,2.1,10,6,6.8,5.5,4.473040007,2.044640003,28,52,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-4.554997046,-3.349766345,0.0024
Rb2BePdF6,0.59,0.84625,1.57,2.2,2,10,5.6,4.8,3.369600005,3.916640006,4,46,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-5.897092546,-3.319597782,0.6513
Rb2BeTeF6,0.59,1.293333333,1.57,2.1,2,6,5.6,5.5,3.369600005,2.044640003,4,52,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-5.897092546,-4.681404658,0.0021
Rb2CoPdI6,0.768333333,0.84625,1.91,2.2,9,10,7.5,4.8,4.437680007,3.916640006,27,46,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-1.046595196,-2.190810671,0.0044
Rb2CoTeI6,0.768333333,1.293333333,1.91,2.1,9,6,7.5,5.5,4.437680007,2.044640003,27,52,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-1.046595196,-3.349766345,0.0105
