Chemical_Formula,A_Atom,B_Atom,Relax_Volume,Relax_Lattice_Constant,Relax_Energy,Tight_Volume,Tight_Lattice_Constant,Tight_Energy,Plus_Volume,Plus_Lattice_Constant,Plus_Energy,Minus_Volume,Minus_Lattice_Constant,Minus_Energy,formula,B0_eV_A3,r_s_A,r_val_A,r_s_cat_A,r_val_cat_A,epsilon_H_A,epsilon_L_A,EA_A,IP_A,EN_A,Z_A,n_A,r_s_B,r_val_B,r_s_cat_B,r_val_cat_B,epsilon_H_B,epsilon_L_B,EA_B,IP_B,EN_B,Z_B,n_B,nA_times_nB
BaAgO3,Ba,Ag,68.4095,4.108299,-377504.991039445,68.4095,4.089832,-377504.992231896,70.4824,4.13073,-377504.972113494,66.3777,4.048934,-377504.965127238,BaAgO3,0.7223270767809395,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.3170500000000005,1.3170500000000005,1.2430500000000002,,-7.015114312406593e-19,-7.015114312406593e-19,-1.8938634490038225e-19,1.2616632678342529e-18,1.87,47,4,8
BaAlO3,Ba,Al,59.0045,3.907378,-237794.776112912,59.0045,3.893096,-237794.77819711,60.7924,3.932027,-237794.754413639,57.252,3.854165,-237794.746739186,BaAlO3,0.9553698480009712,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.1077500000000002,1.39955,1.0573500000000002,,-1.2164574058722622e-18,-4.0786610235705603e-19,5.465354694189902e-20,9.17536499506324e-19,1.613,13,4,8
BaBiO3,Ba,Bi,82.5975,4.346761,-840180.102876033,82.5975,4.355008,-840180.105037435,85.1003,4.398559,-840180.079539485,80.1443,4.311458,-840180.070487294,BaBiO3,0.7436899965653286,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,0.98985,1.30035,0.98175,,-7.2448664398293125e-19,-7.2448664398293125e-19,-2.222770121777009e-19,1.27014732176683e-18,,83,4,8
BaCdO3,Ba,Cd,73.1109,4.203079,-385251.451211357,73.1109,4.181455,-385251.452073855,75.3262,4.223269,-385251.432754383,70.9394,4.13964,-385251.427674693,BaCdO3,0.6349925612444359,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.23185,1.23185,1.1765500000000002,,-9.083588416924225e-19,-1.2850738240112642e-19,2.375824612411154e-19,1.4927701797950525e-18,1.52,48,4,8
BaCoO3,Ba,Co,56.9376,3.860371,-269229.426086325,56.9376,3.847097,-269229.42856756,58.6629,3.885568,-269229.401296049,55.2465,3.808626,-269229.396009161,BaCoO3,1.066484548551606,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.2915500000000002,0.35895,1.19155,,-7.030062620278656e-19,4.23823781500224e-20,-1.7144111919473086e-19,1.2270281618657034e-18,1.84,27,4,8
BaCrO3,Ba,Cr,57.1497,3.863735,-259854.00123991,57.1497,3.851868,-259854.003726762,58.8814,3.890387,-259853.972769348,55.4523,3.81335,-259853.966650953,BaCrO3,1.2211656544470315,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.4245500000000002,0.43935,1.34675,,-7.0894553076117135e-19,-7.036198956736322e-19,-8.069463808212068e-20,1.170956937271006e-18,1.65,24,4,8
BaCuO3,Ba,Cu,60.3141,3.93529,-276396.935580006,60.3141,3.921688,-276396.937249067,62.1417,3.960905,-276396.915131091,58.5227,3.882471,-276396.908923792,BaCuO3,0.862726432462896,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.1988500000000002,1.1988500000000002,1.1283500000000002,,-7.330502780211071e-19,-7.330502780211071e-19,-1.9781936469154185e-19,1.3350901235476822e-18,1.85,29,4,8
BaFeO3,Ba,Fe,56.2437,3.843504,-265925.106343095,56.2437,3.831404,-265925.108819673,57.948,3.869718,-265925.078948464,54.5732,3.79309,-265925.075267042,BaFeO3,1.1524361992497991,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.33295,0.38215,1.23965,,-7.039227070549632e-19,-6.642143616850561e-20,-1.5981992814386266e-19,1.1971094569101176e-18,1.8,26,4,8
BaGaO3,Ba,Ga,63.1844,4.002989,-284332.919114686,63.1844,3.982935,-284332.920889146,65.0989,4.022764,-284332.897610619,61.3077,3.943106,-284332.89135273,BaGaO3,0.8618677791588487,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.0033500000000002,1.3397500000000002,0.97045,,-1.4158562972139263e-18,-3.891670990156993e-19,7.213178911092489e-20,9.088671194085892e-19,1.756,31,4,8
BaGeO3,Ba,Ge,59.7551,3.932535,-288590.260952477,59.7551,3.909534,-288590.263067898,61.5657,3.948629,-288590.236843513,57.9803,3.870439,-288590.229938212,BaGeO3,1.0194549327633529,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,0.92235,1.17105,0.90585,,-1.869555866162208e-18,-6.127444377418562e-19,-9.139650819961009e-20,1.1934528716916311e-18,1.994,32,4,8
BaMnO3,Ba,Mn,56.592,3.850951,-262801.417493805,56.592,3.839296,-262801.420018741,58.3068,3.877689,-262801.390004768,54.9111,3.800903,-262801.383522638,BaMnO3,1.200909796687012,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.3681500000000002,0.40825,1.30255,,-6.996064432385282e-19,2.9717011744936324e-19,-9.213119429910178e-20,1.1853262457505828e-18,1.75,25,4,8
BaMoO3,Ba,Mo,64.2562,4.017163,-342369.949051044,64.2562,4.00533,-342369.951022522,66.2032,4.045384,-342369.917122969,62.3477,3.965277,-342369.909067664,BaMoO3,1.237504369285438,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.5377500000000002,0.72745,1.4647500000000002,,-6.856018173961152e-19,-6.828028148395777e-19,-1.8340851176668144e-19,1.122690083232532e-18,1.47,42,4,8
BaNbO3,Ba,Nb,67.5757,4.084091,-336035.945878018,67.5757,4.073148,-336035.947495802,69.6233,4.11388,-336035.914108965,65.5686,4.032417,-336035.906442428,BaNbO3,1.1653611386433689,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.5759500000000002,0.7735500000000001,1.52635,,-7.338657859210943e-19,-7.198211056631618e-19,-1.058614009316442e-19,1.147994059689629e-18,1.41,41,4,8
BaNiO3,Ba,Ni,57.9166,3.883103,-272718.790246876,57.9166,3.869021,-272718.792477274,59.6716,3.907711,-272718.768094799,56.1964,3.830331,-272718.761199628,BaNiO3,0.9763414515005124,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.2531500000000002,0.33775,1.1477500000000005,,-7.080082574380031e-19,-7.005533296214207e-19,-1.7061441528214542e-19,1.2622812049313197e-18,1.88,28,4,8
BaPbO3,Ba,Pb,78.4098,4.274205,-821188.697744114,78.4098,4.280128,-821188.698472337,80.7857,4.32293,-821188.675773411,76.0809,4.237327,-821188.667714122,BaPbO3,0.7285649661787958,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.0396500000000002,1.4028500000000002,1.0277500000000002,,-1.91532204133536e-18,-5.428286543633856e-19,-7.386567747227957e-20,1.052943794133563e-18,,82,4,8
BaPdO3,Ba,Pd,65.4524,4.049333,-370002.894538088,65.452,4.030023,-370002.895901997,67.4352,4.070323,-370002.873495132,63.508,3.989723,-370002.86738756,BaPdO3,0.81408455085442,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.40755,0.58065,1.27995,,-6.56315630944512e-19,-5.402363325909311e-19,-7.21006556187837e-20,1.4519971560149236e-18,1.58,46,4,8
BaPtO3,Ba,Pt,66.5786,4.067843,-749333.875914402,66.5786,4.053016,-749333.877286745,68.596,4.093546,-749333.848138777,64.6012,4.012486,-749333.837794888,BaPtO3,1.0880716366520675,2.19055,2.19055,2.07035,,-5.149924377536063e-19,-3.0389124837361924e-19,1.7531862533728705e-19,8.59168478635921e-19,0.881,56,2,1.26865,0.67055,1.2043500000000005,,-8.716802123124481e-19,-8.597664269601793e-19,-3.517872930598635e-19,1.4985349714834594e-18,,78,4,8
