u/t,Nd,XA,XB,QA,RA,RB,t,u,VRHE
0.432710307973334,4,1.1,1.55,3.0,1.36,0.58,0.99288050622567,0.42962962962963,1.7915833333333335
0.423046418658225,4,1.1,1.73,3.0,1.36,0.57,0.998051758862262,0.422222222222222,1.7227499999999998
0.413459840457636,7,1.1,1.91,3.0,1.36,0.56,1.00327716074112,0.414814814814815,1.707833333333333
0.442451508402964,4,1.1,1.725,3.0,1.36,0.59,0.98776256547193,0.437037037037037,1.7744166666666663
0.412505434748876,7,1.1,1.902,3.0,1.36,0.559,1.00380271189918,0.414074074074074,1.7908333333333333
0.411551802151261,7,1.1,1.894,3.0,1.36,0.558,1.00432881394945,0.413333333333333,1.7539166666666663
0.403950573371569,5,1.1,1.83,3.0,1.36,0.55,1.00855756685029,0.407407407407407,1.759083333333333
0.403206649663702,5,1.115,1.83,3.0,1.365,0.55,1.0104183741692,0.407407407407407,1.7246666666666668
0.402465460969468,5,1.13,1.83,3.0,1.37,0.55,1.01227918148811,0.407407407407407,1.755583333333333
0.39922493149648,6,1.1,1.88,3.0,1.36,0.545,1.01121866860979,0.403703703703704,1.7205833333333331
0.393625199780886,6,1.05,1.88,2.5,1.35,0.5375,1.01149049494235,0.398148148148148,1.6815833333333334
0.394072198180855,6,1.07,1.88,2.8,1.376,0.542,1.01880184223812,0.401481481481481,1.6875
0.393027907250942,5,1.0625,1.855,2.75,1.38,0.5415,1.02056648831048,0.401111111111111,1.7185833333333334
0.383966597735534,6,1.01,1.88,2.4,1.408,0.536,1.03404056336824,0.397037037037037,1.6993333333333334
0.379011425011768,6,0.98,1.88,2.2,1.424,0.533,1.04169634148247,0.394814814814815,1.6802500000000002
0.374119844298036,5,0.95,1.88,2.0,1.44,0.53,1.0493765529311,0.392592592592593,1.67
0.361304100749028,5,0.92,1.87,2.0,1.525,0.528,1.08249840037877,0.391111111111111,1.63825
0.344139456469369,4,0.89,1.83,2.0,1.61,0.52,1.11927062690491,0.385185185185185,1.7091666666666665
